Resource or Program Name,Record Type,Category,Provider Type,Town,ZIP Code,Address,Ages or Population Served,Contact Name,Phone or Contact,Website,License or Registry ID,Infant/Toddler Funded Spaces FY26,Preschool Funded Spaces FY26,School-Age Funded Spaces FY26,Total Funded Spaces FY26,Local Governance Partner,Local Partner Contact,Availability or Cost Notes,Source,Verified or Accessed,Verification Notes
Cruz O'Neal Family Child Care Home,Provider,Early Start CT funded child care,Family Home,New Britain,06053,"142 MCCLINTOCK ST, New Britain, CT, 06053",Infant/Toddler,Cruz O'Neal,(860) 505-5712,,DCFH.57527; Registry 9564,9,0,0,9,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Early Learning Program-CCSU,Provider,Early Start CT funded child care,Child Care Center,New Britain,06053,"1285 East St, New Britain, CT, 06053",Infant/Toddler; Preschool,Talhaht Mannan,(860) 306-4194,,DCCC.15852; Registry 1859,8,24,0,32,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Greta Weiss Family Child Care Home (Little Garden Day Care),Provider,Early Start CT funded child care,Family Home,New Britain,06053,"38 Elizabeth Street, New Britain, CT, 06053",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.57375; Registry 9063,5,0,0,5,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
HRA of NBB Franklin Early Childcare Lng Admy,Provider,Early Start CT funded child care,Child Care Center,New Britain,06053,"180 Clinton St, New Britain, CT, 06053",Infant/Toddler; Preschool,Amy Griswold,(860) 348-2205,,DCCC.15645; Registry 419,48,164,0,212,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Meriden-New Britain-Berlin YMCA,Provider,Early Start CT funded child care,Child Care Center,New Britain,06052,"111 Hart St, New Britain, CT, 06052",Infant/Toddler; Preschool,Tina Valentin,(203) 314-1738,,DCCC.70328; Registry 7780,24,16,0,40,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
New Britain Boe At Gaffney School,Provider,Early Start CT funded child care,Public School,New Britain,06053,"322 Slater Rd, New Britain, CT, 06053",Preschool,Terry Turcotte,(860) 827-2017,,EXEMPT; Registry 1740,0,135,0,135,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
New Britain Boe At Roosevelt,Provider,Early Start CT funded child care,Public School,New Britain,06053,"40 Goodwin St, New Britain, CT, 06053",Preschool,Terry Turcotte,(860) 827-2017,,EXEMPT; Registry 7477,0,294,0,294,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
New Britain YMCA - Preschool,Provider,Early Start CT funded child care,Child Care Center,New Britain,06051,"50 High St, New Britain, CT, 06051",Infant/Toddler; Preschool,Tina Valentin,(203) 314-1738,,DCCC.70356; Registry 8084,48,40,0,88,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Rosa Santana Peralta Family Child Care Home,Provider,Early Start CT funded child care,Family Home,New Britain,06051,"370 WASHINGTON ST #2, New Britain, CT, 06051",Infant/Toddler; Preschool,Rosa Icela Santana Peralta,(646) 886-6048,,DCFH.57726; Registry 9893,6,3,0,9,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Ruth Robledo Family Child Care Home (Enjoy Learning Family Day Care),Provider,Early Start CT funded child care,Family Home,New Britain,06051,"30 Acorn Street, New Britain, CT, 06051",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.56464; Registry 7207,6,0,0,6,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Teresa Perleche Family Child Care Home (Creative Corner Family Day Care LLC),Provider,Early Start CT funded child care,Family Home,New Britain,06051,"147 Brook Street, New Britain, CT, 06051",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.53831; Registry 5195,3,0,0,3,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
YWCA NB Incubator:  Ana Flores FCCH,Provider,Early Start CT funded child care,Family Home,New Britain,06053,"57 Fern Street Room 3, New Britain, CT, 06053",Infant/Toddler,Tracey Madden-Hennessey,(860) 977-7916,,DCFH.58055; Registry 12233,4,0,0,4,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
YWCA NB Incubator: Johnika Webster FCCH,Provider,Early Start CT funded child care,Family Home,New Britain,06053,"57 Fern Street Room 4, New Britain, CT, 06053",Infant/Toddler,Tracey Madden-Hennessey,(860) 977-7916,,DCFH.58057; Registry 12235,4,0,0,4,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
YWCA NB Incubator: Karla Aliendres FCCH,Provider,Early Start CT funded child care,Family Home,New Britain,06053,"57 Fern Street Room 2, New Britain, CT, 06053",Infant/Toddler,Tracey Madden-Hennessey,(860) 977-7916,,DCFH.58056; Registry 12234,4,0,0,4,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
YWCA NB Incubator: Lasondra Thompson FCCH,Provider,Early Start CT funded child care,Family Home,New Britain,06053,"57 Fern Street Room 1, New Britain, CT, 06053",Infant/Toddler,Tracey Madden-Hennessey,(860) 977-7916,,DCFH.58058; Registry 12236,4,0,0,4,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
YWCA New Britain Childcare Incubator Project (FCCH),Provider,Early Start CT funded child care,Child Care Center,New Britain,06051,"19 Franklin Square, New Britain, CT, 06051",,Tracey Madden-Hennessey,(860) 977-7916,,Various; Registry Incubator,0,0,0,0,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
YWCA of New Britain Child Care Center,Provider,Early Start CT funded child care,Child Care Center,New Britain,06051,"19 Franklin Square, New Britain, CT, 06051",Infant/Toddler; Preschool,Anne Sousa,(860) 225-4681,,DCCC.13507; Registry 1377,34,170,0,204,New Britain LGP,Christopher Badenhop | badenhop@csdnb.org | 860-827-2240,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Day Care Center of New Canaan,Provider,Early Start CT funded child care,Child Care Center,New Canaan,06840,"156 South Ave, New Canaan, CT, 06840",Preschool; School age,Barbara Crolla,(203) 966-9247,,DCCC.14066; Registry 2,0,9,14,23,Early Start Network: Greenwich and New Canaan,David Cohen | davidcohentrumbull@gmail.com | 203-258-0383,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
First Step Preschool,Provider,Early Start CT funded child care,Child Care Center,New Fairfield,06812,"28 State Route 39, New Fairfield, CT, 06812",Infant/Toddler; Preschool,Virginia Boffardi,(203) 994-6066,,DCCC.14477; Registry 273,8,15,0,23,Greater Danbury LGP,Eileen Costello | costello@edadvance.org | 860-567-0863 ext.1160,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Adriana Zamora Family Child Care Home,Provider,Early Start CT funded child care,Family Home,New Haven,06519,"14 ADELINE ST, New Haven, CT, 06519",Infant/Toddler; Preschool; School age,Adriana Zamora,(203) 988-7264,,DCFH.56928; Registry 8080,2,3,2,7,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
All Our Children Academy,Provider,Early Start CT funded child care,Child Care Center,New Haven,06511,"514 Orchard St, New Haven, CT, 06511",Infant/Toddler; Preschool,Gwendolyn Daniels,N/A,,DCCC.70457; Registry 8554,6,3,0,9,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Auntie Rose Child Care Development Center,Provider,Early Start CT funded child care,Child Care Center,New Haven,06513,"125 Grand Ave, New Haven, CT, 06513",Infant/Toddler,Rosa Bermudez,(475) 444-9134,,DCCC.70456; Registry 8553,31,0,0,31,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Auntie Rose Child Care Development Center II,Provider,Early Start CT funded child care,Child Care Center,New Haven,06513,"132 Grand Ave, New Haven, CT, 06513",Preschool,Yakaira Meran,N/A,,DCCC.70838; Registry 13172,0,28,0,28,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Calvin Hill Day Care Ctr-KLF Kindergarten,Provider,Early Start CT funded child care,Child Care Center,New Haven,06511,"150 Highland St, New Haven, CT, 06511",Preschool,Susan Taddei,(203) 530-6606,,DCCC.12194; Registry 888,0,16,0,16,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Catholic Charities Child Development Center-New Haven,Provider,Early Start CT funded child care,Child Care Center,New Haven,06511,"790 Grand Ave, New Haven, CT, 06511",Infant/Toddler; Preschool,Jennifer Caraballo,(203) 751-5531,,DCCC.16763; Registry 2047,24,40,0,64,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Centro San Jose Child Development Center (Catholic Charities),Provider,Early Start CT funded child care,Child Care Center,New Haven,06513,"290 Grand Ave, New Haven, CT, 06513",Preschool,Sylvia Velez,(203) 777-6771,,DCCC.15510; Registry 1623,0,59,0,59,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Creating Kids at the CT Children's Museum,Provider,Early Start CT funded child care,Child Care Center,New Haven,06511,"22 Wall St, New Haven, CT, 06511",Preschool,Lorraine Rodgers,(203) 562-5437,,DCCC.13946; Registry 1839,0,9,0,9,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Creative M.E.,Provider,Early Start CT funded child care,Child Care Center,New Haven,06515,"446A Blake St, New Haven, CT, 06515",Infant/Toddler; Preschool,Mechele Ellis,(203) 859-2804,,DCCC.70147; Registry 1502,32,40,0,72,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Elizabeth Celotto Child Care Center,Provider,Early Start CT funded child care,Child Care Center,New Haven,06511,"181 Mitchell Dr, New Haven, CT, 06511",Infant/Toddler,Robin Moore-Evans,(475) 220-7455,,DCCC.14338; Registry 1077,21,0,0,21,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Farnam Nursery School,Provider,Early Start CT funded child care,Child Care Center,New Haven,06513,"162 Fillmore St, New Haven, CT, 06513",Preschool,Shubhra Gupta,(203) 772-1270,,DCCC.70617; Registry 9540,0,74,0,74,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
First Step Child Care and Learning Center,Provider,Early Start CT funded child care,Child Care Center,New Haven,06511,"95 Hamilton St, New Haven, CT, 06511",Infant/Toddler; Preschool,Maria Vargas,(203) 498-0812,,DCCC.70158; Registry 6970,70,42,0,112,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Friends Center for Children (Blake Street),Provider,Early Start CT funded child care,Child Care Center,New Haven,06515,"495 Blake St, New Haven, CT, 06515",Infant/Toddler; Preschool,Miriam Johnson,(203) 374-3637,,DCCC.70516; Registry 8839,17,18,0,35,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Friends Center for Children (East Grand Ave),Provider,Early Start CT funded child care,Child Care Center,New Haven,06513,"227 E Grand Ave, New Haven, CT, 06513",Infant/Toddler; Preschool,Miriam Johnson,(203) 374-3637,,DCCC.16847; Registry 3216,42,35,0,77,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Friends Center for Children (Flint Street),Provider,Early Start CT funded child care,Child Care Center,New Haven,06513,"25 Flint St, New Haven, CT, 06513",Infant/Toddler,Miriam Johnson,N/A,,DCCC.70792; Registry 12297,25,0,0,25,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Gateway Community College Early Learning Center,Provider,Early Start CT funded child care,Child Care Center,New Haven,06510,"20 Church St, New Haven, CT, 06510",Infant/Toddler; Preschool,Carmelita Valencia-Daye,(203) 285-2132,,DCCC.12735; Registry 1492,12,30,0,42,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hope Child Development Center,Provider,Early Start CT funded child care,Child Care Center,New Haven,06511,"81 Olive St, New Haven, CT, 06511",Infant/Toddler; Preschool; School age,Georgia Goldburn,(860) 913-4906,,DCCC.16314; Registry 3142,39,21,13,73,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Kidz Tyme Learning Center,Provider,Early Start CT funded child care,Child Care Center,New Haven,06511,"17 Norton Street, New Haven, CT, 06511",Infant/Toddler; Preschool,Kieth Myers,(475) 331-6125,,DCCC.70570; Registry 9024,80,20,0,100,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Laura Brown Family Child Care Home (Growing Up Together Daycare) (FCCH),Provider,Early Start CT funded child care,Family Home,New Haven,06513,"83 Irvington Street, New Haven, CT, 06513",Infant/Toddler; Preschool,Georgia Goldburn,(860) 913-4906,,DCFH.56845; Registry 7845,3,6,0,9,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Leila Day Nurseries,Provider,Early Start CT funded child care,Child Care Center,New Haven,06511,"100 Cold Spring St, New Haven, CT, 06511",Preschool,Charlie Malone,(203) 624-1374,,DCCC.12571; Registry 890,0,18,0,18,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Lincoln Bassett School – Head Start,Provider,Early Start CT funded child care,Public School,New Haven,06511,"130 Bassett St, New Haven, CT, 06511",,Mary Derwin,(475) 220-1467,,Exempt; Registry 6290,0,0,0,0,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Luisa Barrionuevo Family Child Care Home,Provider,Early Start CT funded child care,Family Home,New Haven,06513,"55 chambers st apto 1, New Haven, CT, 06513",Infant/Toddler; Preschool,Luisa T Barrionuevo,(203) 571-7645,,DCFH.57316; Registry 8927,4,2,0,6,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Lulac Head Start-Fay Miller Center,Provider,Early Start CT funded child care,Child Care Center,New Haven,06519,"250 Cedar St, New Haven, CT, 06519",Infant/Toddler; Preschool,Mikyle Byrd-Vaughn,(203) 836-4705,,DCCC.15536; Registry 1110,45,77,0,122,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Lulac Head Start-Future Leaders Center,Provider,Early Start CT funded child care,Child Care Center,New Haven,06513,"106 Haven St, New Haven, CT, 06513",Infant/Toddler; Preschool,Mikyle Byrd-Vaughn,(203) 836-4705,,DCCC.13876; Registry 1021,47,28,0,75,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Maria Chacon Arevalo Family Child Care Home,Provider,Early Start CT funded child care,Family Home,New Haven,06513,"39 ROCK HILL RD, New Haven, CT, 06513",Infant/Toddler; Preschool; School age,Maria A Chacon Arevalo,(475) 372-2056,,DCFH.57930; Registry 12032,6,2,1,9,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Montessori School on Edgewood,Provider,Early Start CT funded child care,Child Care Center,New Haven,06511,"230 Edgewood Ave, New Haven, CT, 06511",Infant/Toddler; Preschool,Cecile Malm,(203) 772-3210,,DCCC.16274; Registry 1579,20,24,0,44,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Morning Glory Early Learning Center,Provider,Early Start CT funded child care,Child Care Center,New Haven,06515,"1859 Chapel St, New Haven, CT, 06515",Infant/Toddler; Preschool,Glory Smith,(203) 389-4148,,DCCC.15339; Registry 1112,8,10,0,18,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Morning Glory Infant-Toddler Center,Provider,Early Start CT funded child care,Child Care Center,New Haven,06511,"49 Parmalee Ave, New Haven, CT, 06511",Infant/Toddler,Glory Smith,(203) 389-4148,,DCCC.16433; Registry 2032,16,0,0,16,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Ms. Mia’s TLC  Group Daycare (DCGH),Provider,Early Start CT funded child care,Group Home,New Haven,06511,"18 Compton Street, New Haven, CT, 06511",Infant/Toddler; Preschool,Georgia Goldburn,(860) 913-4906,,DCGH.80007; Registry 7529,5,2,0,7,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Natasha Smith Family Child Care Home,Provider,Early Start CT funded child care,Family Home,New Haven,06511,"27 Mead St. 1st Fl., New Haven, CT, 06511",Infant/Toddler; Preschool; School age,Natasha Smith,(203) 809-8287,,DCFH.53340; Registry 7736,3,4,1,8,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
New Haven BOE at Columbus Family Academy,Provider,Early Start CT funded child care,Public School,New Haven,06513,"255 Blatchley Ave, New Haven, CT, 06513",Preschool,Monique Gibbs,(203) 430-3889,,EXEMPT; Registry 1886,0,17,0,17,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
New Haven BOE at East Rock School,Provider,Early Start CT funded child care,Public School,New Haven,06511,"133 Nash St, New Haven, CT, 06511",Preschool,Monique Gibbs,(203) 430-3889,,EXEMPT; Registry 6363,0,34,0,34,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
New Haven BOE at Hill Central School,Provider,Early Start CT funded child care,Public School,New Haven,06519,"140 Dewitt St, New Haven, CT, 06519",Preschool,Monique Gibbs,(203) 430-3889,,EXEMPT; Registry 2001,0,17,0,17,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
New Haven BOE at Nathan Hale School,Provider,Early Start CT funded child care,Public School,New Haven,06512,"480 Townsend Ave, New Haven, CT, 06512",Preschool,Monique Gibbs,(203) 430-3889,,EXEMPT; Registry 1520,0,27,0,27,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
New Haven YMCA Youth Center,Provider,Early Start CT funded child care,Child Care Center,New Haven,06511,"52 Howe St, New Haven, CT, 06511",Infant/Toddler; Preschool; School age,Aishah Brice,(203) 776-9622,,DCCC.14328; Registry 1697,28,40,20,88,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Shelta Wilson Family Child Care Home (Baby Me Daycare),Provider,Early Start CT funded child care,Family Home,New Haven,06515,"22 Ramsdell Street, New Haven, CT, 06515",Infant/Toddler; Preschool; School age,Georgia Goldburn,(860) 913-4906,,DCFH.52675; Registry 4853,2,2,3,7,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
